id,Easting,Northing,Longitude,Latitude
803,708256.000,9323999.000,106.882,-6.112
804,708256.500,9323999.000,106.882,-6.112
805,708257.000,9323999.000,106.882,-6.112
806,708257.500,9323999.000,106.882,-6.112
807,708258.000,9323999.000,106.882,-6.112
808,708258.500,9323999.000,106.882,-6.112
809,708259.000,9323999.000,106.882,-6.112
810,708259.500,9323999.000,106.882,-6.112
811,708260.000,9323999.000,106.882,-6.112
824,708245.000,9323998.500,106.882,-6.112
825,708245.500,9323998.500,106.882,-6.112
826,708246.000,9323998.500,106.882,-6.112
827,708246.500,9323998.500,106.882,-6.112
828,708247.000,9323998.500,106.882,-6.112
829,708247.500,9323998.500,106.882,-6.112
830,708248.000,9323998.500,106.882,-6.112
831,708248.500,9323998.500,106.882,-6.112
832,708249.000,9323998.500,106.882,-6.112
833,708249.500,9323998.500,106.882,-6.112
834,708250.000,9323998.500,106.882,-6.112
835,708250.500,9323998.500,106.882,-6.112
836,708251.000,9323998.500,106.882,-6.112
837,708251.500,9323998.500,106.882,-6.112
838,708252.000,9323998.500,106.882,-6.112
839,708252.500,9323998.500,106.882,-6.112
840,708253.000,9323998.500,106.882,-6.112
841,708253.500,9323998.500,106.882,-6.112
842,708254.000,9323998.500,106.882,-6.112
843,708254.500,9323998.500,106.882,-6.112
844,708255.000,9323998.500,106.882,-6.112
845,708255.500,9323998.500,106.882,-6.112
846,708256.000,9323998.500,106.882,-6.112
847,708256.500,9323998.500,106.882,-6.112
848,708257.000,9323998.500,106.882,-6.112
849,708257.500,9323998.500,106.882,-6.112
850,708258.000,9323998.500,106.882,-6.112
851,708258.500,9323998.500,106.882,-6.112
852,708259.000,9323998.500,106.882,-6.112
853,708259.500,9323998.500,106.882,-6.112
854,708260.000,9323998.500,106.882,-6.112
855,708260.500,9323998.500,106.882,-6.112
865,708244.000,9323998.000,106.882,-6.112
866,708244.500,9323998.000,106.882,-6.112
867,708245.000,9323998.000,106.882,-6.112
868,708245.500,9323998.000,106.882,-6.112
869,708246.000,9323998.000,106.882,-6.112
870,708246.500,9323998.000,106.882,-6.112
871,708247.000,9323998.000,106.882,-6.112
872,708247.500,9323998.000,106.882,-6.112
873,708248.000,9323998.000,106.882,-6.112
874,708248.500,9323998.000,106.882,-6.112
875,708249.000,9323998.000,106.882,-6.112
876,708249.500,9323998.000,106.882,-6.112
877,708250.000,9323998.000,106.882,-6.112
878,708250.500,9323998.000,106.882,-6.112
879,708251.000,9323998.000,106.882,-6.112
880,708251.500,9323998.000,106.882,-6.112
881,708252.000,9323998.000,106.882,-6.112
882,708252.500,9323998.000,106.882,-6.112
883,708253.000,9323998.000,106.882,-6.112
884,708253.500,9323998.000,106.882,-6.112
885,708254.000,9323998.000,106.882,-6.112
886,708254.500,9323998.000,106.882,-6.112
887,708255.000,9323998.000,106.882,-6.112
888,708255.500,9323998.000,106.882,-6.112
889,708256.000,9323998.000,106.882,-6.112
890,708256.500,9323998.000,106.882,-6.112
891,708257.000,9323998.000,106.882,-6.112
892,708257.500,9323998.000,106.882,-6.112
893,708258.000,9323998.000,106.882,-6.112
894,708258.500,9323998.000,106.882,-6.112
895,708259.000,9323998.000,106.882,-6.112
896,708259.500,9323998.000,106.882,-6.112
897,708260.000,9323998.000,106.882,-6.112
898,708260.500,9323998.000,106.882,-6.112
907,708243.500,9323997.500,106.882,-6.112
908,708244.000,9323997.500,106.882,-6.112
909,708244.500,9323997.500,106.882,-6.112
910,708245.000,9323997.500,106.882,-6.112
911,708245.500,9323997.500,106.882,-6.112
912,708246.000,9323997.500,106.882,-6.112
913,708246.500,9323997.500,106.882,-6.112
914,708247.000,9323997.500,106.882,-6.112
915,708247.500,9323997.500,106.882,-6.112
916,708248.000,9323997.500,106.882,-6.112
917,708248.500,9323997.500,106.882,-6.112
918,708249.000,9323997.500,106.882,-6.112
919,708249.500,9323997.500,106.882,-6.112
920,708250.000,9323997.500,106.882,-6.112
921,708250.500,9323997.500,106.882,-6.112
922,708251.000,9323997.500,106.882,-6.112
923,708251.500,9323997.500,106.882,-6.112
924,708252.000,9323997.500,106.882,-6.112
925,708252.500,9323997.500,106.882,-6.112
926,708253.000,9323997.500,106.882,-6.112
927,708253.500,9323997.500,106.882,-6.112
928,708254.000,9323997.500,106.882,-6.112
929,708254.500,9323997.500,106.882,-6.112
930,708255.000,9323997.500,106.882,-6.112
931,708255.500,9323997.500,106.882,-6.112
932,708256.000,9323997.500,106.882,-6.112
933,708256.500,9323997.500,106.882,-6.112
934,708257.000,9323997.500,106.882,-6.112
935,708257.500,9323997.500,106.882,-6.112
936,708258.000,9323997.500,106.882,-6.112
937,708258.500,9323997.500,106.882,-6.112
938,708259.000,9323997.500,106.882,-6.112
939,708259.500,9323997.500,106.882,-6.112
940,708260.000,9323997.500,106.882,-6.112
941,708260.500,9323997.500,106.882,-6.112
942,708261.000,9323997.500,106.882,-6.112
949,708243.000,9323997.000,106.882,-6.112
950,708243.500,9323997.000,106.882,-6.112
951,708244.000,9323997.000,106.882,-6.112
952,708244.500,9323997.000,106.882,-6.112
953,708245.000,9323997.000,106.882,-6.112
954,708245.500,9323997.000,106.882,-6.112
955,708246.000,9323997.000,106.882,-6.112
956,708246.500,9323997.000,106.882,-6.112
957,708247.000,9323997.000,106.882,-6.112
958,708247.500,9323997.000,106.882,-6.112
959,708248.000,9323997.000,106.882,-6.112
960,708248.500,9323997.000,106.882,-6.112
961,708249.000,9323997.000,106.882,-6.112
962,708249.500,9323997.000,106.882,-6.112
963,708250.000,9323997.000,106.882,-6.112
964,708250.500,9323997.000,106.882,-6.112
965,708251.000,9323997.000,106.882,-6.112
966,708251.500,9323997.000,106.882,-6.112
967,708252.000,9323997.000,106.882,-6.112
968,708252.500,9323997.000,106.882,-6.112
969,708253.000,9323997.000,106.882,-6.112
970,708253.500,9323997.000,106.882,-6.112
971,708254.000,9323997.000,106.882,-6.112
972,708254.500,9323997.000,106.882,-6.112
973,708255.000,9323997.000,106.882,-6.112
974,708255.500,9323997.000,106.882,-6.112
975,708256.000,9323997.000,106.882,-6.112
976,708256.500,9323997.000,106.882,-6.112
977,708257.000,9323997.000,106.882,-6.112
978,708257.500,9323997.000,106.882,-6.112
979,708258.000,9323997.000,106.882,-6.112
980,708258.500,9323997.000,106.882,-6.112
981,708259.000,9323997.000,106.882,-6.112
982,708259.500,9323997.000,106.882,-6.112
983,708260.000,9323997.000,106.882,-6.112
984,708260.500,9323997.000,106.882,-6.112
985,708261.000,9323997.000,106.882,-6.112
990,708242.000,9323996.500,106.882,-6.112
991,708242.500,9323996.500,106.882,-6.112
992,708243.000,9323996.500,106.882,-6.112
993,708243.500,9323996.500,106.882,-6.112
994,708244.000,9323996.500,106.882,-6.112
995,708244.500,9323996.500,106.882,-6.112
996,708245.000,9323996.500,106.882,-6.112
997,708245.500,9323996.500,106.882,-6.112
998,708246.000,9323996.500,106.882,-6.112
999,708246.500,9323996.500,106.882,-6.112
1000,708247.000,9323996.500,106.882,-6.112
1001,708247.500,9323996.500,106.882,-6.112
1002,708248.000,9323996.500,106.882,-6.112
1003,708248.500,9323996.500,106.882,-6.112
1004,708249.000,9323996.500,106.882,-6.112
1005,708249.500,9323996.500,106.882,-6.112
1006,708250.000,9323996.500,106.882,-6.112
1007,708250.500,9323996.500,106.882,-6.112
1008,708251.000,9323996.500,106.882,-6.112
1009,708251.500,9323996.500,106.882,-6.112
1010,708252.000,9323996.500,106.882,-6.112
1011,708252.500,9323996.500,106.882,-6.112
1012,708253.000,9323996.500,106.882,-6.112
1013,708253.500,9323996.500,106.882,-6.112
1014,708254.000,9323996.500,106.882,-6.112
1015,708254.500,9323996.500,106.882,-6.112
1016,708255.000,9323996.500,106.882,-6.112
1017,708255.500,9323996.500,106.882,-6.112
1018,708256.000,9323996.500,106.882,-6.112
