id,longitude,latitude,dist_to_prev_m,utm_x,utm_y
366,106.881831,-6.11245,0.44225105886299426,708254.9414450984,9324000.68077647
367,106.881836,-6.11245,0.552813823185945,708255.4949715494,9324000.678839937
368,106.88184,-6.11245,0.442251057291803,708255.9377927096,9324000.677290706
369,106.881845,-6.11245,0.552813823185945,708256.4913191621,9324000.675354164
370,106.881849,-6.11245,0.44225105886299426,708256.934140326,9324000.673804928
371,106.881854,-6.11245,0.552813823185945,708257.4876667827,9324000.671868376
372,106.881858,-6.11245,0.442251057291803,708257.9304879473,9324000.67031913
373,106.881863,-6.11245,0.552813823185945,708258.4840144053,9324000.66838257
374,106.881867,-6.11245,0.44225105886299426,708258.9268355736,9324000.666833319
375,106.881872,-6.11245,0.552813823185945,708259.480362036,9324000.664896749
379,106.881759,-6.112455,12.505956876198265,708246.9687297498,9324000.155655386
380,106.881764,-6.112454,0.5638860076998754,708247.522643102,9324000.264320241
381,106.881768,-6.112454,0.442251053985436,708247.9654642409,9324000.26277107
382,106.881773,-6.112454,0.5528138190529864,708248.5189906666,9324000.2608346
383,106.881777,-6.112454,0.4422510555566274,708248.9618118093,9324000.259285422
384,106.881782,-6.112454,0.5528138190529864,708249.5153382393,9324000.257348944
385,106.881786,-6.112454,0.4422510555566274,708249.9581593842,9324000.255799757
386,106.881791,-6.112454,0.5528138190529864,708250.511685817,9324000.253863271
387,106.881795,-6.112454,0.442251053985436,708250.9545069627,9324000.252314078
388,106.8818,-6.112454,0.5528138190529864,708251.5080333969,9324000.25037758
389,106.881804,-6.112454,0.4422510555566274,708251.9508545463,9324000.24882838
390,106.881809,-6.112454,0.5528138190529864,708252.5043809847,9324000.246891873
391,106.881813,-6.112454,0.442251053985436,708252.9472021349,9324000.245342664
392,106.881818,-6.112454,0.5528138190529864,708253.5007285747,9324000.243406149
393,106.881822,-6.112454,0.4422510555566274,708253.9435497287,9324000.241856933
394,106.881827,-6.112454,0.5528138190529864,708254.4970761726,9324000.239920408
395,106.881831,-6.112454,0.4422510555566274,708254.9398973288,9324000.238371184
396,106.881836,-6.112454,0.5528138190529864,708255.4934237755,9324000.236434652
397,106.88184,-6.112454,0.442251053985436,708255.9362449326,9324000.23488542
398,106.881845,-6.112454,0.5528138190529864,708256.4897713809,9324000.232948877
399,106.881849,-6.112454,0.4422510555566274,708256.9325925414,9324000.231399639
400,106.881854,-6.112454,0.5528138190529864,708257.486118994,9324000.229463086
401,106.881858,-6.112454,0.442251053985436,708257.9289401554,9324000.22791384
402,106.881863,-6.112454,0.5528138190529864,708258.4824666093,9324000.22597728
403,106.881868,-6.112454,0.5528138190529864,708259.0359930662,9324000.224040711
404,106.881872,-6.112454,0.4422510555566274,708259.4788142326,9324000.222491454
408,106.881759,-6.112459,12.505956782890104,708246.9671820381,9323999.71325012
409,106.881764,-6.112459,0.5528138138867843,708247.5207084575,9323999.711313657
410,106.881768,-6.112459,0.44225104985247443,708247.9635295923,9323999.709764486
411,106.881773,-6.112459,0.5528138138867843,708248.517056013,9323999.707828015
412,106.881777,-6.112459,0.4422510514236657,708248.9598771514,9323999.706278834
413,106.881782,-6.112459,0.5528138138867843,708249.5134035763,9323999.704342354
414,106.881786,-6.112459,0.4422510514236657,708249.9562247171,9323999.702793168
415,106.881791,-6.112459,0.5528138138867843,708250.5097511447,9323999.700856678
416,106.881795,-6.112459,0.44225104985247443,708250.9525722862,9323999.699307483
417,106.8818,-6.112459,0.5528138138867843,708251.5060987154,9323999.697370986
418,106.881804,-6.112459,0.4422510514236657,708251.9489198606,9323999.695821783
